Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((0.4909904897212982, 0.5971009731292725)) 	 Right eye: ((0.602806031703949, 0.610907256603241))
Left eye: ((0.4909904897212982, 0.5971009731292725)) 	 Right eye: ((0.602806031703949, 0.610907256603241))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((0.49402496218681335, 0.6016837358474731)) 	 Right eye: ((0.5968230962753296, 0.6206212639808655))
Left eye: ((0.49476492404937744, 0.5894704461097717)) 	 Right eye: ((0.602893590927124, 0.6200242638587952))
Left eye: ((0.4954032599925995, 0.5846641063690186)) 	 Right eye: ((0.6031162738800049, 0.6157824397087097))
Left eye: ((0.49758419394493103, 0.576376736164093)) 	 Right eye: ((0.6104626655578613, 0.6057043671607971))
Left eye: ((0.4946439862251282, 0.5715135931968689)) 	 Right eye: ((0.6191105246543884, 0.6028465628623962))
Left eye: ((0.4982970654964447, 0.561785101890564)) 	 Right eye: ((0.6235955953598022, 0.5813383460044861))
Left eye: ((0.4982110559940338, 0.5668399930000305)) 	 Right eye: ((0.6133312582969666, 0.5889796614646912))
Left eye: ((0.4947309195995331, 0.568428635597229)) 	 Right eye: ((0.6118324995040894, 0.5980089902877808))
Left eye: ((0.4972027540206909, 0.5704297423362732)) 	 Right eye: ((0.6118358969688416, 0.592617392539978))
Left eye: ((0.49885284900665283, 0.5699902176856995)) 	 Right eye: ((0.5983073115348816, 0.5866074562072754))
Left eye: ((0.5032103061676025, 0.5459250211715698)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
