Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((0.4827401041984558, 0.6376692652702332)) 	 Right eye: ((nan, nan))
Left eye: ((0.49460867047309875, 0.5964641571044922)) 	 Right eye: ((nan, nan))
Left eye: ((0.493935763835907, 0.5908727645874023)) 	 Right eye: ((nan, nan))
Left eye: ((0.4918699264526367, 0.5878197550773621)) 	 Right eye: ((nan, nan))
Left eye: ((0.49299386143684387, 0.5868547558784485)) 	 Right eye: ((nan, nan))
Left eye: ((0.49652037024497986, 0.5791672468185425)) 	 Right eye: ((nan, nan))
Left eye: ((0.4958772361278534, 0.5747170448303223)) 	 Right eye: ((nan, nan))
Left eye: ((0.4930039942264557, 0.5750614404678345)) 	 Right eye: ((nan, nan))
Left eye: ((0.491781085729599, 0.5738804936408997)) 	 Right eye: ((nan, nan))
Left eye: ((0.4912984371185303, 0.5692149996757507)) 	 Right eye: ((nan, nan))
Left eye: ((0.49240612983703613, 0.5668482184410095)) 	 Right eye: ((0.6058259606361389, 0.6262382864952087))
Left eye: ((0.49154743552207947, 0.5664798617362976)) 	 Right eye: ((0.6203722953796387, 0.609595775604248))
Left eye: ((0.4909484386444092, 0.5671501159667969)) 	 Right eye: ((0.6212539076805115, 0.6129414439201355))
Left eye: ((0.4955756664276123, 0.5665773153305054)) 	 Right eye: ((0.6223891973495483, 0.611239492893219))
Left eye: ((0.5066430568695068, 0.5395503640174866)) 	 Right eye: ((0.6301172971725464, 0.597596287727356))
Left eye: ((0.5086944103240967, 0.5349584221839905)) 	 Right eye: ((0.6267119646072388, 0.6008880138397217))
Left eye: ((0.493856817483902, 0.5586287379264832)) 	 Right eye: ((0.6210964918136597, 0.6100500226020813))
Left eye: ((0.4939158856868744, 0.5635724067687988)) 	 Right eye: ((0.6216828227043152, 0.598659336566925))
Left eye: ((0.4954013228416443, 0.5796337723731995)) 	 Right eye: ((0.6182107329368591, 0.5986357927322388))
Left eye: ((0.47738656401634216, 0.6257641315460205)) 	 Right eye: ((0.6022849082946777, 0.6255177855491638))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
